topic,slug,reports,meaning,primary_question,extract_insights,output,readme,data,first_reports
먼저 읽기,start-here,21,레포 전체 조사를 처음 읽을 때 흐름을 잡는 입구입니다. 어떤 질문을 먼저 보고 어떤 보고서로 내려갈지 정합니다.,이 레포에서 먼저 무엇을 읽어야 하는가?,전체 조사 구조; 핵심 보고서 우선순위; 깊게 들어갈 다음 링크,처음 10분 안에 읽을 순서와 핵심 위치를 결정합니다.,reports/by-topic/start-here/README.md,data/report-categories/start-here.json,reports/comparisons/01-project-taxonomy-and-feature-comparison.md; reports/comparisons/02-similarity-clusters.md; reports/llm-wiki/00-llm-wiki-100-summary.md; reports/llm-wiki/01-llm-wiki-100-selection-and-patterns.md; reports/llm-wiki/02-code-level-pipeline-comparison.md
카테고리별 근거,category-guides,18,"오픈소스, 연구, 발표, 블로그, 트렌드 자료를 artifact 성격으로 묶은 근거 지도입니다.",각 근거는 어떤 종류이고 어떤 조사 질문을 뒷받침하는가?,근거 유형별 분포; 주제별 원천 자료 위치; 자료 신뢰도와 활용 범위,분석의 근거가 어디에서 왔는지 추적합니다.,reports/by-topic/category-guides/README.md,data/report-categories/category-guides.json,reports/categories/README.md; reports/categories/agent-harness-orchestration/README.md; reports/categories/ai-infrastructure-serving/README.md; reports/categories/ai-usage-trends/README.md; reports/categories/coding-agents-ides/README.md
전체 소스 스캔/코드 검색,full-source-scan,3,"사용자의 말과 실제 소스 파일, 심볼, 문맥을 연결하는 검색/인덱싱 방식에 대한 주제입니다.","코딩 에이전트는 어떤 파일을 찾아 읽고, 왜 그 파일이 답이라고 판단하는가?",파일 발견과 랭킹 축; grep/symbol/AST/embedding의 역할; 문맥 예산과 증거 연결 방식,전체 소스 스캔 시스템을 설계할 때 필요한 탐색 파이프라인을 뽑습니다.,reports/by-topic/full-source-scan/README.md,data/report-categories/full-source-scan.json,reports/00-source-inventory.md; reports/full-source-scan/02-file-discovery-reading-implementation-deep-dive.md; reports/full-source-scan-research-summary-2026-06-18.md
소스 코드 딥다이브,source-code-deep-dives,1187,"로컬에 클론된 실제 레포에서 entrypoint, runtime, retrieval, spec, eval, security, CI/container 경로를 뽑은 구현 근거입니다.",README 설명이 아니라 실제 코드에서 어떤 구조가 확인되는가?,핵심 파일 경로; 구현 패턴과 feature bucket; 레포별 위험 신호와 검증 표면,레포별로 바로 확인할 코드 근거와 구현 차이를 얻습니다.,reports/by-topic/source-code-deep-dives/README.md,data/report-categories/source-code-deep-dives.json,reports/comparisons/01-project-taxonomy-and-feature-comparison.md; reports/llm-wiki/00-llm-wiki-100-summary.md; reports/llm-wiki/01-llm-wiki-100-selection-and-patterns.md; reports/korea-trending/00-korea-open-source-trend-report-2026-06-18.md; reports/source-deep-dives/README.md
코딩 에이전트/IDE,coding-agents,124,"Codex, Claude Code, Aider, OpenHands, Cline/Roo류 코딩 에이전트와 IDE 보조 도구를 비교하는 주제입니다.",코딩 에이전트 제품은 어떤 실행 루프와 코드 수정 표면을 가져야 하는가?,CLI/IDE 실행면; 파일 수정 및 diff 루프; 테스트/리뷰/sandbox 구조,코딩 에이전트 제품 구조와 구현 후보를 비교합니다.,reports/by-topic/coding-agents/README.md,data/report-categories/coding-agents.json,reports/research/02-evidence-catalog-100-sources.md; reports/agent-harness/00-claude-code-codex-harness-materials-1000.md; reports/categories/coding-agents-ides/README.md; reports/repository-insights/by-role/coding-agent-ide/README.md; reports/source-deep-dives/by-topic/coding-agent-ide/README.md
에이전트 하네스/MCP/오케스트레이션,agent-harness,281,"MCP, tool registry, hooks, skills, workflow orchestration처럼 에이전트 실행을 받치는 하네스 계층입니다.",LLM이 도구와 워크플로를 안전하게 실행하려면 어떤 하네스가 필요한가?,MCP/tool 연결; hooks/skills/plugin 구조; workflow orchestration과 권한 경계,에이전트 런타임과 도구 실행 기반 설계 기준을 얻습니다.,reports/by-topic/agent-harness/README.md,data/report-categories/agent-harness.json,reports/adjacent-tech/01-context-rag-vllm-local-llm-harness-trends.md; reports/agent-harness/00-claude-code-codex-harness-materials-1000.md; reports/presentations/00-agent-harness-conference-presentation-patterns.md; reports/categories/agent-harness-orchestration/README.md; reports/categories/mcp-tools-protocols/README.md
스펙 드리븐/요구사항,spec-driven,42,"요구사항, ADR, acceptance criteria, executable specs, SDD 도구를 장기 기억과 코드 변경에 연결하는 주제입니다.",스펙을 어떻게 뽑고 저장하고 테스트 trace와 연결해야 오래 기억되는가?,스펙 추출 방식; 요구사항-설계-테스트 추적성; spec memory와 acceptance gate,스펙 드리븐 개발 체계를 만들 때 필요한 산출물과 연결 규칙을 뽑습니다.,reports/by-topic/spec-driven/README.md,data/report-categories/spec-driven.json,reports/spec-driven/00-spec-extraction-and-spec-memory-synthesis.md; reports/categories/spec-driven-requirements/README.md; reports/repository-insights/by-role/spec-driven/README.md; reports/source-deep-dives/by-topic/spec-driven/README.md; reports/source-insights/by-category/spec-driven/README.md
LLM 위키/RAG/지식베이스,llm-wiki,292,"LLM wiki, RAG, GraphRAG, 문서 지식베이스, ingestion, retrieval, provenance를 묶은 지식 지속성 주제입니다.",코드와 문서를 어떻게 수집하고 검색하고 출처와 함께 기억할 것인가?,ingestion/chunking pipeline; embedding/vector/graph retrieval; provenance와 knowledge update 방식,LLM 지식베이스와 코드 위키를 설계할 때 필요한 파이프라인 차이를 비교합니다.,reports/by-topic/llm-wiki/README.md,data/report-categories/llm-wiki.json,reports/llm-wiki/00-llm-wiki-100-summary.md; reports/llm-wiki/01-llm-wiki-100-selection-and-patterns.md; reports/llm-wiki/02-code-level-pipeline-comparison.md; reports/adjacent-tech/01-context-rag-vllm-local-llm-harness-trends.md; reports/adjacent-tech/02-repository-analysis-50.md
발표/컨퍼런스,presentations-conferences,9,"컨퍼런스, 키노트, 웨비나, 발표 자료에서 산업 신호와 구현 방향을 읽는 주제입니다.",최근 발표들이 AI 활용과 에이전트 설계에서 무엇을 강조하는가?,빅테크 발표 흐름; Amazon/AWS와 기업 도입 신호; 한국/글로벌 컨퍼런스 차이,논문/코드만으로 보이지 않는 산업 채택 방향을 보완합니다.,reports/by-topic/presentations-conferences/README.md,data/report-categories/presentations-conferences.json,reports/presentations/00-agent-harness-conference-presentation-patterns.md; reports/presentations/01-ai-usage-trends-bigtech-korea-6-12mo.md; reports/categories/presentations-conferences/README.md; reports/presentations/ai-usage-trend-source-catalog-6-12mo.md; reports/presentations/conference-source-catalog.md
AI 활용 트렌드,ai-usage-trends,3,"기업, 빅테크, Amazon/AWS, 한국 컨퍼런스에서 나타나는 최근 AI 활용 트렌드입니다.",최근 6~12개월 AI 활용은 어떤 업무와 아키텍처로 이동하고 있는가?,agentic enterprise 흐름; 업무 자동화 적용 지점; 국내외 도입 방식 차이,실제 제품/조직 적용 관점의 우선순위를 뽑습니다.,reports/by-topic/ai-usage-trends/README.md,data/report-categories/ai-usage-trends.json,reports/presentations/01-ai-usage-trends-bigtech-korea-6-12mo.md; reports/categories/ai-usage-trends/README.md; reports/presentations/ai-usage-trend-source-catalog-6-12mo.md
글로벌 트렌딩 오픈소스,global-trending-open-source,502,전세계 AI/agent/RAG/devtool/security/infrastructure 오픈소스 트렌딩 코퍼스입니다.,글로벌에서 star velocity와 커뮤니티 신호가 강한 프로젝트는 무엇인가?,글로벌 인기 프로젝트; 언어/스택/카테고리 분포; 급상승 구현 패턴,전세계 트렌드 기준의 후보군과 비교 대상을 뽑습니다.,reports/by-topic/global-trending-open-source/README.md,data/report-categories/global-trending-open-source.json,reports/global-trending/00-global-open-source-trend-report-2026-06-18.md; reports/categories/global-ai-open-source/README.md; reports/global-trending/repositories/cocoindex-io__cocoindex-code.md; reports/global-trending/repositories/run-llama__llama_index.md; reports/global-trending/repositories/0xMassi__webclaw.md
한국 트렌딩 오픈소스,korea-trending-open-source,502,"한국 개발자 커뮤니티, 한국 AI/MCP/RAG 프로젝트, 국내 기술 블로그와 오픈소스 흐름입니다.",한국에서 실제 관심을 받고 있는 소스와 구현 주제는 무엇인가?,국내 트렌드 레포; 한국어/국내 도메인 MCP/RAG 흐름; 기업/커뮤니티별 기술 신호,국내 맥락에서 우선 볼 프로젝트와 차별점을 뽑습니다.,reports/by-topic/korea-trending-open-source/README.md,data/report-categories/korea-trending-open-source.json,reports/korea-trending/00-korea-open-source-trend-report-2026-06-18.md; reports/categories/korean-ai-open-source/README.md; reports/korea-trending/repositories/bits-bytes-nn__omnisummary.md; reports/korea-trending/repositories/naver__naver-openapi-guide.md; reports/korea-trending/repositories/toss__yarn-plugin-catalogs.md
인접 AI 인프라,adjacent-infrastructure,18,"컨텍스트 엔지니어링, RAG 인프라, 벡터 DB, 로컬 LLM 서빙, 평가/관측성 같은 주변 스택입니다.",에이전트를 제품화하려면 주변 인프라에서 무엇을 갖춰야 하는가?,컨텍스트/메모리 계층; 서빙과 벡터 인프라; eval/observability 연결,에이전트 외부 의존 스택과 운영 준비도를 판단합니다.,reports/by-topic/adjacent-infrastructure/README.md,data/report-categories/adjacent-infrastructure.json,reports/adjacent-tech/01-context-rag-vllm-local-llm-harness-trends.md; reports/adjacent-tech/02-repository-analysis-50.md; reports/categories/ai-infrastructure-serving/README.md; reports/categories/data-platforms-vector-databases/README.md; reports/categories/evals-observability-quality/README.md
클론 구조/인벤토리,clone-structure-inventory,128,"로컬에 클론한 upstream 소스의 물리 구조, manifest, source directory, entrypoint 목록입니다.",분석 대상 소스는 실제로 어디에 있고 어떤 구조를 갖는가?,로컬 소스 위치; 레포별 파일 구조; entrypoint와 주요 디렉터리,분석 근거가 되는 원본 소스 트리를 찾습니다.,reports/by-topic/clone-structure-inventory/README.md,data/report-categories/clone-structure-inventory.json,reports/clone-structure-analysis-127.md; reports/clone-structures/run-llama__llama_index.md; reports/clone-structures/aaif-goose__goose.md; reports/clone-structures/addyosmani__agent-skills.md; reports/clone-structures/agenta-ai__agenta.md
비교/유사도 지도,comparisons,1195,"레포 간 taxonomy, 기능 비교, 유사도 cluster, 카테고리 차이를 보는 비교 지도입니다.",비슷해 보이는 프로젝트들은 무엇이 다르고 어느 카테고리에 속하는가?,기능별 비교; 유사군과 차이점; 카테고리 간 설계 거리,후보 프로젝트를 비교하고 선택 기준을 세웁니다.,reports/by-topic/comparisons/README.md,data/report-categories/comparisons.json,reports/comparisons/01-project-taxonomy-and-feature-comparison.md; reports/comparisons/02-similarity-clusters.md; reports/llm-wiki/01-llm-wiki-100-selection-and-patterns.md; reports/llm-wiki/02-code-level-pipeline-comparison.md; reports/repository-insights/README.md
연구 근거,research-foundations,7,"논문, 근거자료, 이론 충돌, 연구 종합 보고서를 묶은 학술/공신력 근거 주제입니다.",코드와 트렌드를 설명하는 연구적 근거는 무엇인가?,핵심 논문과 이론; 상충되는 관점; 실무 설계로 옮길 수 있는 원칙,주장과 설계 판단의 근거 수준을 보강합니다.,reports/by-topic/research-foundations/README.md,data/report-categories/research-foundations.json,reports/research/02-evidence-catalog-100-sources.md; reports/research/01-agent-trends-2026.md; reports/categories/research-papers/README.md; reports/spec-driven-evidence-corpus-500.md; reports/adjacent-tech/04-latest-research-and-industry-radar-2026.md
소스 카탈로그/인벤토리,source-catalogs-and-inventories,6,"조사에 사용한 원천 목록, evidence ledger, clone inventory, source catalog입니다.",자료 목록과 출처를 빠짐없이 추적하려면 어디를 봐야 하는가?,전체 자료 목록; 클론/근거 인벤토리; 데이터 파일 위치,분석 대상과 근거 목록의 누락 여부를 확인합니다.,reports/by-topic/source-catalogs-and-inventories/README.md,data/report-categories/source-catalogs-and-inventories.json,reports/00-source-inventory.md; reports/presentations/ai-usage-trend-source-catalog-6-12mo.md; reports/presentations/conference-source-catalog.md; reports/adjacent-tech-source-inventory.md; reports/current-clone-inventory-107.md
레포별 딥다이브,repository-deep-dives,2434,"핵심 에이전트, 글로벌/한국 트렌딩, LLM wiki, 클론 구조의 레포별 상세 보고서입니다.",특정 레포 하나를 깊게 볼 때 어떤 요약과 근거가 있는가?,레포별 총평; 구현 특징과 위험 신호; 다음에 볼 소스/보고서 링크,개별 레포를 선택하거나 제외할 판단 근거를 뽑습니다.,reports/by-topic/repository-deep-dives/README.md,data/report-categories/repository-deep-dives.json,reports/repository-insights/README.md; reports/source-deep-dives/README.md; reports/repository-insights/by-role/README.md; reports/source-deep-dives/by-topic/README.md; reports/repository-insights/by-role/agent-harness-mcp/README.md
